video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=PTWglEATamI&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@CascadePBS,Cascade PBS,Do you have to be rich to buy a house in Seattle? | Crosscut Now: Special Reports,321,3 years,"Seattle has consistently been one of the fastest growing cities in the U.S., causing housing prices to skyrocket. Seattle City ...",2026-01-21 23:06:44.797918
/watch?v=VJ3QAnjkkCk&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@ReventureReports,Reventure Housing Reports,"Seattle, WA Housing Market Forecast for 2025",26K,1 year,"Home prices in Seattle, WA are up +4.6% over the last year, however, this price growth could slow in 2025 due to a big spike in ...",2026-01-21 23:06:44.799119
/watch?v=aWd7QwCgN0g&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@waestatehomeinsights,Washington Real Estate Insights,"Seattle Housing Market Crash 2026? | Real Data, Real Risks | WA Homes & News",317,2 months,"Welcome to Washington Real Estate Insights Is Seattle's housing market on the brink of collapse in 2026? In this in-depth report, ...",2026-01-21 23:06:44.800247
/watch?v=_f4KNuSK10U&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@AntonStetner,Anton Stetner,Seattle Metro Home Prices - Where Are Prices Going? January 2026 Real Estate Market Review 📱,378,Streamed 6 days,Seattle Metro Home Prices - Where Are Prices Going? | January 2026 Real Estate Market Review Wondering what's really ...,2026-01-21 23:06:44.803648
/watch?v=Vf4SSEgO-Tw&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@HouseCrisis,House Crisis,10 Cities in Washington Where Home Prices WILL CRASH in 2026...,59K,2 months,... go over: - Washington's Housing Market Crisis - Cheapest cities in Washington - Washington home prices - Seattle Real Estate ...,2026-01-21 23:06:44.804929
/watch?v=-S6a1QLrbMs&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,Is Buying a Condo in Seattle a Bad Investment?,13K,6 months,Download Our FREE Relocation Guide Here!✓ https://bit.ly/ReloPDF ➡️ Our Seattle New Condo Guide: https://bit.ly/4hl8TzB ...,2026-01-21 23:06:44.806359
/watch?v=Sd6empPcVDw&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,"If I Were Moving to Seattle in 2025, I'd Move Here",16K,5 months,Download Our FREE Relocation Guide Here!✓ https://bit.ly/ReloPDF ➡️ Our Seattle New Condo Guide: https://bit.ly/4hl8TzB ...,2026-01-21 23:06:44.808396
/shorts/vz75ESb1bUg,/@vmhometeamwa,VM Home Team | WA Real Estate,The TRUE Cost of Living in Seattle REVEALED! #livinginseattle,7.6K,2 years,WATCH ENTIRE VIDEO HERE: https://youtu.be/WODkMsiXX1s ⭐️ BOOK A BUYER/SELLER CONSULTATION: ...,2026-01-21 23:06:52.618011
/shorts/vLkfcmNWQWI,/@thebaldmortgagebroker,Matt Jolivette,Is the Seattle Housing Market Really Crashing?,No,6 hours,Watch my full breakdown and predictions for the Seattle WA housing market on my channel!,2026-01-21 23:06:52.619575
/watch?v=1CwE2BhV4sQ&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,AVOID These 5 OVERPRICED Seattle Neighborhoods!,22K,5 months,Download Our FREE Relocation Guide Here!✓ https://bit.ly/ReloPDF ➡️ Our Seattle New Condo Guide: https://bit.ly/4hl8TzB ...,2026-01-21 23:06:52.624761
/watch?v=65ZohYhZs8c&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@brennen.clouse,Brennen Clouse | Seattle Real Estate,Home Prices Are FALLING FAST! | Seattle Housing Market Watch 10|17|2025,155,3 months,Here's The Market Watch Update this week. Here are my thoughts on the Seattle housing market this week! Got questions about ...,2026-01-21 23:06:52.625900
/watch?v=jZuqcwvXBHo&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@livenowfox,LiveNOW from FOX,Housing crash prediction: Experts disagree on market trends,40K,1 month,"Dave Meyer, Head of Real Estate Investing at BiggerPockets in Seattle, joins Andy Mac with LiveNOW from FOX to discuss ...",2026-01-21 23:06:52.627170
/watch?v=5jFUCsTb0ic&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@HomeProAssociates,HomePro Associates,Seattle Housing Market Update – December 2025,156,1 month,"Wondering what's really going on with home prices, inventory, and interest rates in the Seattle area as we close out 2025?",2026-01-21 23:06:52.628364
/watch?v=CgMOy6rk6uQ&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@CNBCtelevision,CNBC Television,CNBC Housing Market Survey: 44% of real estate agents say home prices are on the decline,78K,2 months,CNBC's Diana Olick joins 'Squawk Box' to break down the results of CNBC's Housing Market Survey.,2026-01-21 23:06:52.633902
/watch?v=OwkKrx4TnpM&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@THEMADRONAGROUP,The Madrona Group | Puget Sound Real Estate,Seattle Housing Market Update – October 2025 Report,161,3 months,The Seattle housing market in October 2025 is proving one thing: resilience wins. Even as the 30-year fixed mortgage rate inched ...,2026-01-21 23:06:52.635684
/watch?v=krVZQIJaQUo&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@AntonStetner,Anton Stetner,23 Seattle Suburbs Where Home Prices Just Dropped | King County Market Shift,1.2K,2 months,"The housing market in King County is shifting fast — and no one saw this coming. From Redmond to Renton, from Bellevue to ...",2026-01-21 23:06:52.637333
/watch?v=WyOc6QlrJKU&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@summitpropertiesnwllc,Summit Properties NW,Seattle Housing Market Update – September 2025 | Prices Cool as Listings Surge!,539,3 months,The latest Northwest MLS (NWMLS) September 2025 Market Snapshot is out — and the data shows a clear shift! Active listings ...,2026-01-21 23:06:52.638446
/watch?v=Bc78p8OrhRk&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@ReventureConsulting,Reventure Consulting,Save your money (The 18-year housing cycle is about to flip),137K,Streamed 3 months,"The question is: will this housing cycle lead to a crash, or will home prices hold firm throughout the downturn? Access Reventure's ...",2026-01-21 23:06:52.639869
/watch?v=o4YMjUnWMyI&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@biggerpockets,BiggerPockets,"Seattle Home Prices Decline 17%, Is Now the Time to Buy?",79K,2 years,"Get GUARANTEED RENT with Belong: try.belonghome.com/biggerpockets Seattle home prices are in a correction, falling ...",2026-01-21 23:06:52.643808
/shorts/_A-oB1xlkb0,/@ruthyanntaylor,"Ruthy Taylor, Realtor - Mosaic Real Estate",Tacoma vs Seattle Home Prices: You Won’t Believe This! #livingintacomawa #shorts,252,4 months,"Thinking about buying a home in Tacoma, Washington? Here's what first-time buyers and relocating families need to ...",2026-01-21 23:06:52.645073
/watch?v=Z-tchxx4PDA&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Housing Market Watch - 11/4/2025,400,2 months,Here are my thoughts on the Seattle housing market this week! Have questions about the Seattle real estate market? Thinking ...,2026-01-21 23:06:52.646193
/watch?v=GM5-UhYC8wI&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@RealEstateWatchdog,Real Estate Watchdog,Amazon Layoffs Just Triggered a Seattle Housing Earthquake 💥🏠,23K,2 months,"When Amazon announced another massive round of layoffs, few realized how deeply it would shake Seattle's real estate market.",2026-01-21 23:06:52.647275
/shorts/Q7ZdxVSNaxg,/@LuxRealsSeattle,LuxReals Seattle,INSANE Home Prices in Seattle’s Suburbs You WON’T Believe! 😱,21,6 months,"Seattle Suburbs Are Going WILD! Discover the shocking home prices just outside the city — some are skyrocketing, others are ...",2026-01-21 23:06:52.648614
/watch?v=QWrKE-1Liko&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@BrielleJuliet,Brielle Juliet,"APARTMENT HUNTING in SEATTLE, WA | apartment tours, prices, pros and cons",26K,1 year,"welcome to an apartment hunting in seattle video! come along for my seattle apartment hunt including empty apartment tours, ...",2026-01-21 23:06:52.652758
/watch?v=256dRS9ZqMY&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Housing Market Watch | 11/25/2025,344,1 month,Here are my thoughts on the Seattle housing market this week! Have questions about the Seattle real estate market? Thinking ...,2026-01-21 23:06:52.653935
/shorts/Y2nxBbdA8eg,/@HomeProAssociates,HomePro Associates,Seattle Housing Market 2025: Why Prices Have Stalled,765,3 months,Seattle Housing Market 2025: Why Prices Have Stalled Seattle's housing market has shifted—average list prices have flattened in ...,2026-01-21 23:06:52.655108
/watch?v=WOUH5N_57k0&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@JordanReederSeattleRealEstate,Jordan Reeder - Seattle Real Estate,"What You Can BUY For $1,000,000 In Seattle | Seattle Home Prices | House Hunting In Seattle",2.7K,3 years,"If you are looking to buy a house here in Seattle, Washington then you'll probably want to know what kind of house you can afford ...",2026-01-21 23:07:00.605577
/watch?v=H3lpT4nehvM&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Housing Market Watch | 12/2/2025,387,1 month,Here are my thoughts on the Seattle housing market this week! Have questions about the Seattle real estate market? Thinking ...,2026-01-21 23:07:00.606679
/watch?v=by-cbICE2II&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@maggiesun-seattlerealtor,Maggie Sun | Seattle Real Estate,Will Seattle’s Housing Market Crash in 2025?,1.5K,1 year,"Will the housing market crash in 2025? / Or more specifically, / will Seattle's housing market really take a nosedive? As we near ...",2026-01-21 23:07:00.607719
/shorts/5s7AyTFqGas,/@EliteHomeAppraisals,Coast to Coast Appraiser,Seattle weakening Housing Market.,46,4 months,"Seattle's housing market is finally catching its breath. After years of price growth, the Emerald City is seeing prices drop , and in ...",2026-01-21 23:07:00.609904
/watch?v=lh_40cZp0bE&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@OneRentalataTime,One Rental at a Time,Is Seattle's Housing Market About To Crash?,864,1 month,BUY One Rental at a Time https://amzn.to/3jt3JFx Audible Version Here https://amzn.to/3jtLDTQ OR Buy 15 Conversations ...,2026-01-21 23:07:00.611418
/watch?v=oPwhQbcNwHQ&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@Livinginseattle1,Living in Seattle Washington - Christian Harris,The Market Is NOT Crashing Yet - Fall 2025 Seattle Housing Market Update,104,4 months,"Is the Seattle housing market crashing in 2025? Not quite—but things are definitely shifting. In this video, I break down what's ...",2026-01-21 23:07:00.612883
/shorts/Ba8U2UGXR7g,/@JeffThorntonRealEstate,Jeff Thornton - Seattle Washington Real Estate,"Seattle Housing Market Update | September 2025 | Prices, Time on Market & Buyer Opportunities",391,4 months,Seattle's housing market is heating up again! Median home prices are around $935000 — nearly a 10% jump from last year.,2026-01-21 23:07:00.615085
/watch?v=10zAnfc1OpQ&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Housing Market Watch - 11/20/2025,238,2 months,Here are my thoughts on the Seattle housing market this week! Have questions about the Seattle real estate market? Thinking ...,2026-01-21 23:07:00.616196
/watch?v=Ljwm7W4KRqM&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@matthewchapmanrealtor,Living in Seattle & Bellevue with Matthew Chapman ,"Is the Seattle Housing Market Shifting? | Prices, Rates & Inventory Update (August 2025)",486,5 months,Seattle Housing Market Update (August 2025) by Matthew Chapman Wondering what's really happening in Seattle's real estate ...,2026-01-21 23:07:00.617822
/shorts/fl1HWpklU2A,/@JeffMcGinnisMortgage,Jeff McGinnis - CrossCountry Mortgage,Government Shutdown Shakes Markets: What Falling Rates Mean for Seattle Homebuyers,613,3 months,"Seattle's housing market is shifting fast. Government shutdown = delayed jobs data, but mortgage rates are trending lower.",2026-01-21 23:07:00.620964
/watch?v=W1fYkTrzRlQ&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@ReasonableNews,News For Reasonable People,Seattle Home Prices are Rising Fastest Among National Leaders | Seattle Real Estate Podcast,2.8K,4 years,LIKE & SUBSCRIBE for new videos everyday. http://bit.ly/2tSlggk Seattle's housing market started the new year with a milestone: ...,2026-01-21 23:07:00.622062
/watch?v=hOtT-Ot2EfE&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Real Estate Market Update | November 2025,721,2 months,"In this Seattle Real Estate Market Update, I share a client story, Seattle housing market stats, and current applications for buyers ...",2026-01-21 23:07:00.624062
/watch?v=iwESJmfTEKQ&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Home Prices Keep Rising | Seattle Real Estate News Breakdown #18,433,5 years,"The Seattle Real Estate Market remains a hot and competitive market. In this Real Estate News Breakdown, we'll discuss an ...",2026-01-21 23:07:00.625090
/shorts/Q1SbRv9IMeU,/@sitrucyar1958,Informed Tourist ,The Reality of Seattle's Housing Market #shorts,1.5K,8 months,Discover the shocking truth about Seattle's housing prices and why they might just make you question everything! Is it really worth ...,2026-01-21 23:07:00.626165
/watch?v=TTmw1-BRBe0&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@HomeProAssociates,HomePro Associates,"Seattle Housing Market Update September 2025 | Prices, Inventory & Trends",95,4 months,"Seattle's housing market isn't what most people think. While summer feels like it should be the hottest season, July and August ...",2026-01-21 23:07:00.629276
/watch?v=s90C5xPvW_I&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Housing Market Watch - 08/22/2025,411,4 months,Here are my thoughts on the Seattle housing market this week! Have questions about the Seattle real estate market? Thinking ...,2026-01-21 23:07:00.630327
/watch?v=__rTjbWA6t0&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Housing Market Watch - 10/28/2025,404,2 months,Here are my thoughts on the Seattle housing market this week! Have questions about the Seattle real estate market? Thinking ...,2026-01-21 23:07:00.631410
/shorts/M4UzVhVC1LI,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Will Seattle's housing market shift back to competition  #seattlerealestate #seattlehousing,243,1 year,"Seattle housing trends are shifting again! Post-COVID, many people moved to the suburbs for remote work flexibility. But with ...",2026-01-21 23:07:08.961337
/shorts/eeJfGv4Ktsw,/@DannyGrecoHomes,Moving to Seattle,Seattle's High Cost: See What Income Rent/Buy Requires!,924,7 months,This video reveals the affordability challenges of Seattle real estate. What are your thoughts on Seattle's cost of living?,2026-01-21 23:07:08.962024
/watch?v=Om0gbZ5YcMU&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle Housing Market Watch - 08/15/2025,397,5 months,Here are my thoughts on the Seattle housing market this week! Have questions about the Seattle real estate market? Thinking ...,2026-01-21 23:07:08.962668
/shorts/uGj9ZRaGrB0,/@george_moorhead,George Moorhead,Housing Market in Seattle – September 2025,181,4 months,"The housing market in Seattle in September 2025 exhibits more transactions, changing prices, and longer DOM. Is it still a good ...",2026-01-21 23:07:08.963312
/shorts/DIHvHDP3B00,/@OleksiiHumaniuk,Oleksii Humaniuk,Seattle Housing Market is CRAZY: My Trip to Emerald City! #shorts,181,4 months,A recent trip to Seattle reveals the insane housing market. House prices are double what they are elsewhere. Even junky houses ...,2026-01-21 23:07:08.964027
/watch?v=CImfgai3P4U&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@HomeProAssociates,HomePro Associates,Is the Seattle Housing Market Crashing or Just Slowing Down?,113,3 months,"Is the Seattle real estate market heading for a recession, a slowdown, or a crash? That's the question we're asking right now ...",2026-01-21 23:07:08.965139
/watch?v=Y7thB-ql4FM&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@brennen.clouse,Brennen Clouse | Seattle Real Estate,Will Seattle’s Housing Market Crash in 2025?,1.9K,5 months,Will Seattle's Housing Market Crash in 2025? | Real Estate Update + Expert Analysis Is the Seattle housing market finally ...,2026-01-21 23:07:08.966249
/watch?v=tgQshNWLDCI&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@THEMADRONAGROUP,The Madrona Group | Puget Sound Real Estate,Seattle Housing Market September 2025 | Rates Crash to 6.27%,115,4 months,Seattle housing market September 2025 — the big story is interest rates. Mortgage rates have slipped to 6.27% (as of September ...,2026-01-21 23:07:08.967184
/watch?v=HAw8fEmYkjM&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Seattle rent prices down,6K,4 years,A temporary drop in Seattle rent prices isn't expected to last long. The pandemic is being blamed for the current downturn in rent ...,2026-01-21 23:07:08.968099
/shorts/LV_VEcdVWdw,/@AntonStetner,Anton Stetner,Will Seattle Home Prices Explode Soon? | Seattle Real Estate Massive Bidding Wars Are Coming!,2.6K,5 months,"Text ""ANTON"" to (425) 386-7854 Connect with Anton: ...",2026-01-21 23:07:08.969279
/shorts/Za_kTlx8Vtw,/@SeattleWashingtonLifeAndLiving,Seattle Washington Life & Living,Seattle Housing Market Update May 2025 🏡 | Best Affordable Suburbs Near Seattle,1.3K,7 months,"Thinking about buying a home near Seattle but Bellevue feels out of reach? You're not alone. In this May 2025 market update, we ...",2026-01-21 23:07:08.970258
/watch?v=2m8-WJRmWbE&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlc9IHCQmHCgGHKiGM7w%3D%3D,/@JulianHomes,Julian Gonzalez - Seattle Real Estate Professional,Seattle Area Housing Market Update - January 2025,47,11 days,Seattle Housing Market Ends 2025 With Familiar Start - January Update. The December 2025 housing market closed out the year ...,2026-01-21 23:07:08.971161
/shorts/tTOt8ErYCXE,/@brennen.clouse,Brennen Clouse | Seattle Real Estate,Federal Reserve Cuts 2025 | Seattle Housing Market Watch 09/18/2025,75,4 months,Here's The Market Watch Update this week. Here are my thoughts on the Seattle housing market this week! Got questions about ...,2026-01-21 23:07:08.971813
/watch?v=w-0PqSIC4Es&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@livinginswa,Adriano Tori,"Seattle Housing Market Update 2025! Adriano Tori on Home Prices, Mortgage Rates & Real Estate Trends",157,5 months,Stay informed with the latest Seattle housing market update for 2025 featuring Adriano Tori in an exclusive Fox 13 Seattle ...,2026-01-21 23:07:08.972456
/watch?v=rCVKbsA20X0&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@AntonStetner,Anton Stetner,Seattle Metro Home Prices - Where Are Prices Going? November 2025 Real Estate Market Review,392,Streamed 2 months,Seattle Metro Home Prices - Where Are Prices Going? | November 2025 Real Estate Market Review Wondering what's really ...,2026-01-21 23:07:08.973102
/watch?v=RTz7yIVn3dQ&pp=ygUWc2VhdHRsZSBob3VzaW5nIHByaWNlcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Housing prices drop in Seattle,389,7 years,KING 5's Kaci Aitchison breaks down the numbers.,2026-01-21 23:07:08.973683
